username,user_id,name,location
MariuszPrus,3751064063,Mariusz Prus,"Peel, Isle of Man"
chrisloizou,32334265,Chris 'C.LO' Loizou,Toronto
620wtmj,18719880,620wtmj,Milwaukee
ReJennerating,1379419370,🐑😈Jennifer Cooper 😈 🐀😷💉🦉,
astrodeldeporte,1455677872165826565,Astros Del Deporte,
Mike21725957,1432204175899652097,Flyme,SoCal
InformaFaro,1399885299178672136,Faro Informa,
Sidneymarinss,2956842605,sid,"Rio de Janeiro,Araruama Brasil"
AUSDNews,2190947318,Alameda Unified,"Alameda, California"
dickiebaird,95916910,Bairdy,
ForthRightStrat,3045436195,ForthRight Strategy,
sunshinesmasks,1287230909016678400,sunshines masks,florida 
NgCrawler,1348657639643881473,Crawler NG,Nigeria
visionpolitica7,4499559076,Fernando Cruz López,"Oaxaca de Juárez, Oaxaca"
rod49_j,1396595655611617281,JRod49,
SinarDu21276171,1291381487565078530,Sinar Dunia-O,"Yogyakarta, Indonesia"
POferriesupdate,115631816,P&O Ferries Updates,Dover
fabiennelabarou,385869391,Fabienne . CARPE DIEM,Paris  & Correze 
YouKeepUsingTW,18309854,YouKeepUsingThatWord,USA
AdelphiU,57400495,Adelphi University,"Garden City, NY"
4_standup,1347259558448738306,Standup 4 Good Health!,USA
my4angelsktpl,34371429,OfLoveNLight,"South Carolina, USA"
SafetyPinDaily,449600949,SafetyPin-Daily,
wowwowza,77006882,w.o.,
televicentrohn,972804638,Televicentro HN,"Tegucigalpa, Honduras."
reason,16467567,reason,"Washington, DC and Los Angeles"
steve58892787,1370183314833870848,Steve,
stan7403,887024004061646853,stan,
nbcbayarea,20097362,NBC Bay Area,San Francisco Bay Area
JohnRob59003391,1375489358099324933,John Robert,
KadyTrevino,1606700580,kady treviño 🇲🇽,"Panama City Beach, FL"
KBehemoth,1009773851507650560,"KurtBehemoth, Wildtyp der Mutantologen",auf Eden
dieterismagil,50508886,Dieter Ismagil,
silentanb,784529570,AB,Australia
TessieSanMartin,3252707188,Tessie San Martin,Durham NC / Washington DC
Trirunt,50580213,TR-i Runt,United States
goldenastrum,822930761582051328,moon ⵣ @ working on owed art!!!,📍Tio’tià:ke
_camargoma,1381783818605096960,Marcella,
ksatnews,16425419,KSAT 12,"San Antonio, TX"
sebpedersen01,1201170502049521665,Sebastian Pedersen🇳🇴,"Oslo, Norway"
CHANGElt2_,1423744726256300035,yah miss louis,under the canyon moon 🌜
JolieSexifaras,322804092,Biden’s gynecologist,"Brooklyn, NY"
PCADAragua,222203852,Proteccion Civil Aragua,"Aragua, Venezuela"
CBCAfternoonDr,2784525714,Afternoon Drive,London / Windsor
atribunasantos,75697948,Jornal A Tribuna,"Santos, Brasil"
HealthcareGlob1,1091857187935264769,Healthcare-Global😷,USA
globovision,17485551,Globovisión,Venezuela
wsyx6,33517296,WSYX ABC 6,"Columbus, OH"
Mi3Australia,1113720070029447168,Mi3 Australia,"Sydney, New South Wales"
QuintoENews,1459234614900412416,QuintoElemento.News,
JimPolk,36046325,Jim Polk 🇺🇸,"Rochester, NY, USA"
MattyBWba96,1268813275019567104,Matty Bennett,"West Midlands, Dudley"
oddinsights_tcs,455947303,Da’ Chris Smitty ⚡️🔔,North San Diego County
Ann_ONeill,238341615,Ann O'Neill,
PunkMacro,1173207897997815808,Global Macro Punk,Europe
Johnbarron19465,1348056071659638784,John barron,
candid1008,1457337050361909258,Sandi Goodall,
WillmaGL,348269379,WillG,
WHOPoland,1268809966619680768,WHO Poland,"Warsaw, Poland"
OttoTopci,1109306173587709959,Otto Topci for Congress,"Wayward Pines, Florida "
UR_U_WHO_R,1347759633902014464,U R,USA
poppamitch74,62326677,poppamitch,
DrKateTO,486788914,Dr. Kate,
madgician_vd,2347155613,MaDGiCiAn,Suiza
sempercastores,91412558,Andrew,PDX
JoyNewsOnTV,610124383,JoyNews,Ghana
epsileth,868161541,Kyle Hewitt,
timisnotatroll,117054491,fuzz lightyear,
i_sannoi,711648704512581633,Iωάννης Παλαιολόγος,
wildsalmonlover,410219704,wildsalmonlover,beautiful BC
WP_Pizu,858540648181506048,Losango de Naniwa,Colônia do café.
mister_quint,1461032023653507077,mister_quint_21,
LuciaRagone,1013867982,lucia ragone,
nicolettagiust1,884087425,La mauvaise herbe 🥂🍾,"Parigi, Francia"
Stewrug,94731788,Lesco Brandon,
BitcoinNatural,1272718500130217984,₿itcoin Natural🌋🌎,Planet Earth
bost_app,884827243553411072,BostApp,
mOlitOdeOlla_2,1427010315116498948,mOlitOdeOlla2,
MeisterAnatol,1484244824,🄰 🄽 🄰 🅃 🄾 🄻 🄼 🄴 🄸 🅂 🅃 🄴 🅁,
KMaherNews12,25761816,Kevin Maher,
arseblagger,1349980759,Positively Parralax. (Blackburn George),
Cmeun1,1275831536559013889,Cmeun,
danagold7211,3266565264,Horace Leslie, Airport/West  Melbourne
abs_laurent,1229169699377811458,Laurent Abs,
_YvonneBurton,253637278,Yvonne Burton Ephesians 6:12,"Collierville,TN"
McKenna10085,733802270,Dylan McKenna,"Dublin, Ireland"
ExpeditorRasa,955924453329747969,AkbarHarits,"Jember, Jawa Timur"
TalkinGiants,1082798784420200448,Talkin’ Giants,Voicemail: 732-443-0862
JohnAda32739360,860743440,John Adams,
val46316382,1150491362950647809,val,
Trish_Bogart,125457338,Pᴀᴛʀɪᴄɪᴀ Iɴɢᴀ Bᴏɢᴀʀᴛ ❤🖤,"Hoboken, NJ"
rosalvaos2008,1669073215,Sol 🌒 Luna,Ciudad de México
fyang28_,421508593,Freddie Yang,
Quileel,27959756,🤔,USA
numptyhunting,1460720895937466369,Seanie Mc,
JanetWa89872553,1438469098074218501,Janet Watson,
ClareKuehn,1014560119,Clare Kuehn,Toronto-Citizen of Canada & US
LoupBlanc55,884396606048661506,Loup Blanc,
johncunniff5,1178073803928358913,john cunniff,
unitysistrength,1414547075245748224,Unity of Purpose is Strength,
PeaceOu38044784,1432832504612986880,PeaceOut,
KarenHa97783644,1458055974770462721,Sacred7Healing,
Artemis_Albinon,1437744433911455744,Artemis 🌱 #ProtectTheKids,
cmsvarginha,1726116870,CMSV,"Varginha, MG, Brasil"
marcelx2,247800762,Marcelx2,"Washington, DC"
herbthefox1,4829910760,Old man in a shed,Wherever my head's at
apocombr,336154325,Alta Pressão Online,Alagoinhas-BA
ChingSling12,2949798886,🇬🇧Doubleactiontrigger🇬🇧,Ancapistan
ME_blog_,1104951159901614086,MulticulturalEdit,United States
Kees71234,826525977228541953,Kees71,"Róterdam, Holanda"
gizmoguy2020,1269061169442172935,Gizmoguy2020,
Laurenm57,28913714,Lauren Macchia Fully Vaccinated Ⓥ,"Massachusetts, USA"
PolitikFake,1124956744508162048,Ma dov'è l'imbecille del giorno?,Gattendurk
atntelevision,952143469,ATN Televisión,"Cúcuta, Colombia"
fullmoonyelena,1222974178615341063,soph🧃 tslocg + yellowjackets era,she/her • 18 • 🏳️‍🌈 
MomOfSydBlake,30553273,K,Texas Forever! 
ThatGuyWisco,1382474784555069440,ThatGuy71,
LarryEhmer,70717088,Larry Ehmer,"Norfolk, VA"
Room_F48,1071887610799382528,Jack,In your head
viedoklis6,1352903205374615553,Man ir kas sakāms,
Charby74747476,1014664055213129734,Charb.,"Québec, Canada"
BeauPergusey,216112014,Beau - ⭐️⭐️,
YoSoyNoConocido,1278458297989947393,YoSoy Desconocido,
patriot6847,1385317995522658305,Patriot6847,
ol_dirty_pat,1465530327368040448,Patrick Cox,
KnotSavant,1157724751802052615,Fact Rat,
G_McDonald89,387752564,Garrett McDonald,Borough
_its_clairebear,455193238,🌻 Claire 🌻,
ZaniPixels,2391347402,Zanilo ಠ_ಠ,HADAL
itaporamsnews,177221949,Itaporã News.com,Itaporã-MS
raymufc83,300141518,Mani,"Manchester, chorlton "
Deedoherty2,1117571415652409345,Dee Doherty 🇮🇪,
rawizlaw1,1371083055205597185,rawizlaw,"New York, NY"
VisserDonny,1337482747632349184,Donny Visser,
saltypatriot_,389210011,Joe Must Go!,
FrankPlutonium,1241855324061122563,FrankPlutonium,"London, England"
GmkShyam,1397763339057614849,ShyamGMK,
NBCMontana,27987151,NBC Montana,Montana
LSkeletor1111,1349373234655993856,LadySkeletor1111,United States
reimelrsandino,2916423088,Reimel R. Sandino,"Sandino, Cuba"
Spacereportern1,1280245545869676549,Space-reporter-news,"Buffalo, NY"
OthaGawd,252005084,Omaryan White,Annapolis
Mister_Castle1,927177209105801216,Mister Castle (aka Dyllan Hunnt),Somwhere on the road
VeganCyclist4,1396537874418479107,Cycling Folkie 🌳,West Yorkshire
Real_TradePros,1429893634237870080,Financial Trading Pros,"Houston, TX"
Rpesh69,1432120761934770180,RP,
bekkalee231,3969532295,TnkGrl,Alberta
Tannsue,2646937500,SuZee,
TheOlivr,1421400469881114624,Oliver,Land of Woke and Glory
LuisMig73693292,1061315603703697409,"Luismi Comunista Libertario, Cristiano Sufista, ..",
BongiMbatha,1387741379036581888,Bonginkosi Mbatha,Sandton and Mtubatuba
karenbr77386898,1211505473058271237,karen bradley,"Kentucky, USA"
mmpaquette,214825798,Michelle M. Paquette,Kansas City
CoreyMFC,325712613,Corey,
danny_kazza,1154383569965461504,Danny Kazza,
marcogroenhof,72235189,Marco,Iceland
joco0614,714463844584783872,JoCo,"Crown Point, IN"
FrankMillerIII1,1341630923897495553,Frank Miller III,
RhianRawlinson,495559591,RhianJamesRawlinson,England
thenewsyard,440228159,The News Yard,United States
euronews,25067168,euronews,Europe
ladylibation,892470661,shepp,Florida
galla_go,1283765688616628233,Galla Go,Estados Unidos
kbiegel,21473334,kevinbiegel,
unicresnaweb,4868207464,@AFreire100%,Fortaleza
OficialEMBRAPII,2491427702,EMBRAPII,Brasília-DF
YannCasu,1455993687985504259,yann CaSu,
jasonfvick,41703453,Jason F Vick,"Spokane, WA"
BestHindiTech1,1413847110718423046,Best Hindi Tech,India
republique_z,1465709347107790858,République Z,
BrianGoodwin8,577490875,Brian😎🎸,"Eastern Shore, MD"
julesyugo,1246270586495463424,julesyugo,
Abebe83580112,1324829259148320770,Abebe Tasifa 🇪🇹🇪🇹🇪🇹,
coraljames,25727449,Coral Ann James,"Winter Haven, Florida"
welovewevin,1387538657402306567,Wevin Derale,
newsbht1,1269612893529444354,News Bht,United States
bishito_bishito,2798496123,Gatitos para la depresión,
BeauPergusey,216112014,Beau - ⭐️⭐️,
gabriellergomes,839201681392959488,paty aventureira,
509ShawnG,793658020743876608,Shawn Griffin,"Spokane, WA"
pianocktailiste,1434114011621117952,Le pianocktailiste,
JaimeEdmundo,92870768,Juarista,"Temamaxtle, NL"
LagarrapataS22,2732357923,La Garrapata S-22,Oaxaca
DDawgly,1283659495562973185,Deputy Dawgly,
MamaBearZM,1442356150452711429,Bougie Bohemian Mama,Bella Noche with my home girls
Jeswal_63,351804409,JeffS,East Yorkshire 
BirisLoie,1275815421522972672,Lecureuil 🐿️ 🔴#ZeroCovid 🔴,
42Stro,1457017883792453637,The Goat,4200 Hidden Leaf Village 
jt120651,93922728,jt120651,"Beach Park, Illinois USA"
WaldorickWilson,716898948,Waldo,
Dylanuter1,1930582363,DyLaN 📵,"Sheffield, England"
spectrophobics,844308830871801859,🌩️ellie williams is still a lesbian🌩️,she / her !
Techno_Jon,502698653,Techno Jon,UK
bluejaybeep,34817685,BlueJay Beep,Florida-USA
Shane_st_pierre,1351331011301355525,Shane_St_Pierre,"Massachusetts, United States, "
Cass33836415,1445113525974700038,Cass,
frankadak01,778275702730846208,Flaco,
EstarMejorUS,1349555716667932672,Estar Mejor,New York
Marianaabruno1,1307848583048245249,Mariana Bruno,
DefMohamedM,1912443043,Mohamed Def,"Washington, DC"
catfishyak,889291121146421250,Y'all hurry up🏳️‍🌈🇺🇲,GA Creek Indian land
DrEricBall,3010738968,Eric Ball,"Irvine, CA"
JerriGrail,4060566194,El Santo Grial🏆,Deep in the Heart
Pawel__Kurowski,4754425349,Paweł Kurowski,
ChrisBrySprtSci,1177307404633026565,Chris Bryson,"Edinburgh, Scotland"
TheSonAlsoRizes,1428687382669369353,V. J. Chance,
C05percent,1427753676333064194,Covidfatalityrateinunder70s is0.05percent,"West Midlands, UK"
La7tv,121424128,La7,Italy
katrinyanuo,3318877703,katrin Born Free,Freedom 
pedrofcb__,1429410158539689986,-,
jamesdeansgh0st,1450059034908839936,James Dean,
Linsee841,1408159709371289601,Linsee84,
FantasyProsNFL,190021256,FantasyPros,"Las Vegas, NV"
valeriatartagli,475195212,valeria tartaglia,
MamaBearZM,1442356150452711429,Bougie Bohemian Mama,Bella Noche with my home girls
Tedforfreedom,1461889184277409793,Ted,
1CraftyWitch,756907885129568257,🌊🌹🌎 WitchyWoman PRU 😷🐱🐱🐱,United States
iroirotanken,1360954921,☆いろいろ最新情報・最速チェック,
damien715,863364146,Damien Sanchez 🇸🇪🇺🇸,
nufcjackson96,1382784602058670083,Connor Jackson,
Lainey_75,24551880,Ennyw NilhbiE 🇵🇸,
CoVbrain_papers,1399774633956675585,COVID19BrainPapers,
chivas4life_,1448398956719915008,pollito 🍗🇲🇽,
CarsleyGolf,1042469730060328961,Carsley Golf,"Sioux Falls, SD"
UBTECHRobotics,3918074234,UBTECH Robotics,Estados Unidos
_Sir_CharlesR,1413560771532009478,Fully Vaxxed Golfer 🏌🏾‍♂️,South Africa
IANFREE613,218364704,🇨🇦𝐈𝐀𝐍🇨🇦,Ontario Canada
JimmyBeansmith,1387454166151229498,Jake Billiards,
kaleighf,29044361,Kaleigh Moore,"Springfield, Illinois"
ElElCoolJane,28900782,Liza Jane,USA
Gawker,8936082,Gawker,
PotestioLawyers,928804356497006592,Potestio Lawyers,"Thunder Bay, Ontario: Toronto, Ontario"
browningshot,1444339244512645120,Rolane Renfrow,
parispagesblog,270853774,Cécile,"Newcastle Upon Tyne, England"
DeltaNiner187,1420080132459532298,FaucianDystopia,
RealKevStinson,1402588922199302145,MY NEIGHBORS KEEPER,Ohio
GiovyDean,823975885963399168,Giovanni,
JackDoe12155693,1431654416843689987,John Doe,Antártida
dictators_r_us,1087830884907184129,Craig Gorman,
CindyVien,397413572,Cindy Vien,"Ontario, Canada"
xoxmishaa,47025734,j.,DC|MD 
JoeKennedyEM,2905762055,Joe Kennedy,"Burlington, VT"
ovierocks1,261893055,MancDad,U.K. and USA
GayAltsRock,1406611716788609025,GayBoy,
saundu22,339415463,randel saunders,NY 
BeachBum_N_SC,1081733708972023808,Steve Martin,"Myrtle Beach, SC"
trackntracer,1313868235599740929,trackntrace,
m4dys0n,2774643209,maddy🍒,AZ
nonelarena,925297534607773696,Non è l'Arena,
piyakhanna,48992513,#ScrapTheBill #FreeNazanin #Starmer4PM #GTTO,London
NWBABIE,140235340,A BROKEN BELIEVER!💔🙏DO NOT DM ME🛑!!!,Fort Wayne 
rdsadvocate,130154682,Robert Sutherland,Edinburgh
ConroeWalters,1241783552632655878,Conroe Walters,
MartinACS1893,341352182,Martin Špaček,"Nový Bydžov, Česká republika"
himeralive,1220996159315070976,Himeralive.it,Termini Imerese
mightysparty,604010080,Samson,Temporary Home 
SurvivalKitt,3280315615,SurvivalKitt,Online
janelleealexis,3467772492,🖤,"Texas, USA"
Trashtussi,2949572789,Ms. Wolf,
Matthew55525,1463690315882192909,Matthew555,
Marc_Scho,2981006907,medecinmalgrevous,Zürich
jipettes,54034509,Jean-Pierre Gagné,
danp2078r,2355294444,Dan,East houston
TRAINTOBEFREE,864569289487007744,Debbie Bailey,"San Diego, CA"
vania_abreu,254272138,Vania Abreu❤️🖤❤️🖤,"Río de Janeiro, Brasil"
gTlqRmZ09W2nmYn,1412829604180549636,человек рафал,Tam Gdzie Trzeba
redrowen123,1319357297483722754,redrowen,
Mama_Isss,403620416,Christina,USA
AiredeSantaFe,34643836,Aire de Santa Fe,"Santa Fe, Argentina"
socializ3r,2463873786,Kevin Burton - Get Vaccinated,San Francisco
ATLSurvivor,1370176269808205828,AtlantaSportsSurvivor🇭🇹,"New York, USA"
culps_a,1375492340840734731,Loren Culp Rebuffed,"Republic, Washington "
Clickongh,964993198559907840,Clickongh,Africa
Mikeheadhoncho,933087078090338304,Mike HONCHO,Estados Unidos
CheapKarma,503129955,Cody Kahne - still Texas Forever,Texas Forever
jaybuddybirch,2162410334,Jay Birch,leeds
BeauvoisinM,1069036329193938944,Cousin Eddie,"Prince County, PEI"
AcMagnolia,1245138162168594436,Magnolia,
maggiemaynne,1186470154110033920,ProgressNotPerfection,US
AbstractTruth,18777045,David Menestres,
HempContrarian,42912883,Cannabis Hemp CBD Contrarian 🧐 researcher trader,"Denver, Colorado"
BernierDarcy,793941816617922560,D Bernier,
ErivaldoMandu1,1466077124985593859,Erivaldo Mandú,
Chlomaster1,861630873690447873,Patty Wheeler,
JimCall39458705,1038193628898836480,Jim Callahan,
familydoctor,169916350,familydoctor.org,
tiempoarg,142802581,Tiempo Argentino,"Buenos Aires, Argentina"
gcllemos,4245560722,gabriela,RJ
globaldenis,815298894347300864,Denis,United States
ThabangMhlanga7,1423190338630569984,Thabang Mhlanga,
WallNqs,1445663411757633536,WALL STREET GLOBAL NQS LTD,
christinerush,23040391,Christine Rush,
SaftyInNumbers,2470055959,August,USA
Milenio,24969337,Milenio,México
fleurdandrive,1234168100213469184,fleur-Sandra d’Andrive,France
newscollector24,1454042353820442625,newscollector24,
kenneth89157246,704144216419647489,kenneth patrick,
Jojo26236645,1262872970772520967,Jojo,
carranzacr1,241305252,Carranza,Costa Rica
_jason_91,2756620945,jason,"Edinburgh, Scotland"
ASCUN1,368367115,Asociación Colombiana de Universidades,"Bogotá, Colombia"
TheGunnerNick,1030079711840530433,Nick 🐺,"South East, England"
TabbyCa25757103,1336770100981067776,TabbyCat,
tomahawk784,1371795088255414273,tomahawk78,
AbbottNews,360054369,Abbott,"Abbott Park, IL"
50yearsagooner,296080869,Nordsta,
Lnewman16Lee,782413784,Lee Newman,"Madison, WI"
cbleguy,181316664,dave davanzo @ It was no Accident,
karlouna,1377741144596041729,Arada Élodie,
cobbo3,41103933,Charles Onyango-Obbo,Tororo & Nairobi
GrzegorzGocini3,1432037379024592896,Grzegorz Gościniak,
67sanmartin,816662584929767425,St Martin,"Cherry Hill, NJ, USA"
Lidsville,17829133,Lindsay Brown,Vancouver 
Wilhelminah74,1354581997256122373,Silent Disco,
GeekIdw,1219795891848171521,Mat C,
lolaferreira,15523423,Lola Ferreira,Rio
deericrossing,2759598631,deeri 🧸🎃🍁bIm,she/her
Paul_Gaspais,85062283,Paul Gaspais,
SimsunL,1412460018306330628,Simsun Levinson,
boomeresque1,1349411239303196673,McSpread,Moon
Big_City_Radio,943105053975568385,Big City Radio,"Birmingham, England"
SeremiSalud3,1434027672,Seremi de Salud Atacama,Región de Atacama
NASUWT_NI,374413765,NASUWT N. Ireland,Belfast
JackDoe12155693,1431654416843689987,John Doe,Antártida
adambarlo,4233586036,adambarlow,
bullDADcity,19578113,ChuckFather^2,Bull City
PantsAre4Scrubs,1173005895573344259,Mindy B.,
jshdjekw,1432095300102103048,ça c le maillot a fatou,Romains 6:23/ 8:31
DadelaDorota,822938874519425026,Dorota.,
ren2you,493787047,Rrr,
kass12351,1215318835072589825,kass1235,
PilRoberts,1310958465188274177,Pil Roberts 🦅ConstitutionDefender🛡 &ArtLover⚖️,Denizen:🌎 Citizen:❤️🇺🇸❤️
josecarrion95,182545769,José A Carrión C,venezuela
kirumb,1849478558,Kimberley,Washington
jmp9999jmp,746473869293330432,I Think I’d DO Both 😂😂J,
RedeBcn,907102475949309952,Rede Bcn,São Paulo
BSNRN030,834420140,danny,South Carolina
SenorBush,316909019,arbusto,St. Louis
SAPPublicSector,272495290,SAP Public Sector,
EdaEge33658813,1466056660900851718,Eda Ege,
Chris_1791,312149882,Chris 🇺🇸,"Philadelphia PA, USA"
zyiteblog,2543982944,Zyite.com,www.zyite.com
ontherecordnews,194172085,On The Record,"Toronto, Ontario"
Yankeeboy73,1292914311376011264,Yankeeboy7,
ProdByZapz,26727193,ProdByZapz,"London, England"
BerkleyBearNews,787546010,Berkley Bear,Doghouse
Etus2K,1007620434831945731,ETZUS,Citizen of the world
LaFranceNouve3,1309927460801314817,La France Nouvelle 🇫🇷,
crom47990985,1377306295850635267,cro.m,
goobrr13,3763422136,Goobrr13,RVA
Lagartija_Nix,4855687055,Lagartija Nix 🌎🤔,
AStrongerLA,4921964010,A Stronger Louisiana,"Louisiana, USA"
GGProudET,1080699475,🇪🇹 #UnityForEthiopia GG,Ethiopia
grangermireille,73150929,Mireille Granger,
MosRemy,1386257972460937217,Remy mos,
JimDelos02,3426148912,Jim Delos02,
elpoliticonews,88537980,El Político,"Washington, DC"
mariaaeunicee,55204836,mariaaeunicee,
wr_ghty,1595906029,.,United Kingdom
WhigStandard,31204302,The Whig-Standard,"Kingston, Ontario"
Larry29423660,1365397190080745477,Larry,
DoctorOnHealth,1463821296144289796,DoctorOnHealth,India
cagzy86,704844444,Carrie,"Chester, England"
LynnValverde,24285666,Lynn Bennett,"ÜT: 33.645965,-112.233223"
bscguru2,1442054031585656847,Bscguru,
zarazoo_,1577682546,zahra⁷,
MissDitto,2832109334,LOT'S WIFE,Hamilton ON shitpost zone
ricaszz,1167831692,Enrica Zaidman,"Minnesota, USA"
DavidVe64270691,1419816593547141120,David Vega,
JohnRob59003391,1375489358099324933,John Robert,
Janet50000481,1449231887789031427,Janet,
gutridget,15976671,Tom Gutridge,"Powell, TN"
CurrentSuite,1263219905794420736,CurrentSCM,Canada
