username,user_id,name,location
folha,14594813,Folha de S.Paulo,"São Paulo, Brazil"
Antonio91095491,2835383358,SoCal Conservative,United States
antonioafilep,418173198,antoniolopezbarajas 💜💜💜🐊🐊🐊💪🏻💪🏻💪🏻 🇪🇸.,"Jaen,arbuniel"
hqmarvel,1710199118,gisele⁴⁴🏁,Gotham 
Noti_WBD,1298021148572057600,Noticias WBDigital,Venezuela
kelbroughton,1216840168768000013,Kelly Broughton,"Warrington, England"
ScallyNancy,1240717792493686786,Wondering,
SarahJTodd,89152624,Dr Sarah Todd 💙 #TeamGP #StaySafeBeKind,
ohthatsjarvis,1167863098503380993,JRVS,
AfricaTimesofN1,1119286872121851906,Africa Times of News,
lavieestcool22,470921452,Ruth,"Madrid, España."
5Resurection,1415404558717685761,5_resurection,
AnnJuurinen,868099546609577993,Ann Juurinen,"Brantford, Ontario"
ScottBr63154674,1461897879732334593,Scott Brown,
Marlene_Danko,4076402776,Marlene Danko,"Newtown, CT"
joanapr31,1130178002229354496,Joana Rodrigues,
aerwin1201,1444987736729919496,ErwinAlcantara,
_bibi_a,619421853,Bibi,Aquitaine
INDY5AM,1405435590091239427,ACE,"Auckland, New Zealand "
MConnolly353,2218585842,Michael Connolly,
MoomjyN,269574838,Moomjy Neiman,
MarketAgnostic,423798136,Market Agnostic,By the beach
CatRtw,1224254149765844992,RTWCat,"Inglaterra, Reino Unido"
Dom_Twomey,729994255557595136,Dominic Twomey,
BrujiX3,600307684,Purple™ 😺🍁,El Salvador
Alothea1,1319688025606098945,Alothea,
iloveridge,19708660,Ian,
JessBB1317,1465396945342676994,Jess,
wildcranaryfish,624620370,cangrejo full hq🦀🇮🇨🇦🇷,Gran canaria
meteocambodge,932452430926643201,Météo-Covid-19 Influence du temps sur coronavirus,"Asie du sud-est, Cambodge"
Splatsinfn,1225168631497052160,Splatsin,Secwepemc Territory
GamesNosh,2699887286,GamesNosh,"Birmingham, England"
IanRobb84,80118823,Ian Robb,"Herne Bay, United Kingdom"
Rowena_mazekeen,2163649262,💋ॐ B ॐ💋,
mj_glover,1450961114460721152,MJGlover,
nordsudeastwest,1400427712188137475,Ste,"Padova, Veneto"
CuzISaidSoBrat,1437563413,LilyFairy,
batshitcrazyben,876114188,Ben,
bigbyrne1994,528897387,Kevin Byrne,
lovingthebvi,2812114305,Robin McLaughlin,"Nuevo Brunswick, Canadá"
Reflejomx,3002328513,Reflejo,México 
zg4ever,197279172,Mynameis...Miro,U.S.A
noivurn,724951110,krogan queen,
sugan2503,53953423,sugan naidoo,
fijndiezomer,1400466853680484353,Fijndiezomer,
AobhHollywood,1295132973508034567,Aobh Hollywood,
olisketchestoo,953730403529056257,olisketchestonight,
LorraineH2006,46079477,LozH2015,Scunthorpe
kristenkurtis,16153697,Kristen Kurtis,"Philadelphia, PA"
JoseAPerezP,1434640212253159434,Jose Antonio Pérez Pérez,
springcanadian1,1249588897547300864,Mary 🌼,Canada
madmarymanplow,1400880439263338497,Manplow is reading DUNE,Unceded Duwamish Territory 
MajchrzakKamil,1242442765339971585,Kamil Majchrzak,ŁÓDŹ 
Inma20282800,1429433783103758338,Inma,
Himiennamjink,1046470338299789312,himienn🍂,
kevdsmith,141702501,"Kevin D Smith 💉💉 Grampa ""Two Shots""/Team Pfizer","North Bay, ON, CA"
Bijouxbandit600,829350350599618560,Bijouxbandit,
genepedia,236998514,Genepedia PhD 🏳️‍🌈,
ClaireNffc_xo,335879264,Claire,Nottingham
arizman2,25379461,SHADOW BANNED & deboosted,VARIOUS
Mohammad_ali_73,1356775540343062532,Mohammad Ali,Bangladesh
VippusaO,1225793633342935043,save DEMOCRACY,USA
SeremiSalud3,1434027672,Seremi de Salud Atacama,Región de Atacama
Annette77204741,1420030280421855254,🙋🏼‍♀️ Annette ♐ 🦋...🇫🇷💞🇲🇶...😻😻,Moselle/frontière Luxembourg 
RobertoZucchi11,2397689598,Roberto Zucchi,"Bolonia, Emilia-Romaña"
Vixxylixxy,1148660041211400194,Victoria,
sanjoseahora,4853927571,San José Ahora,"San José, Uruguay"
ChelseaL82,21352739,Cc,"Nueva York, USA"
MiPresidenteES,299868929,Presidente,España
Futurlux,3481280655,Moi,Terre
almost_bill,1459216428758937605,Almost Bill,
cruzeirofm,84418025,Cruzeiro FM,Sorocaba/SP
humomaletita,886311044632780800,Maletita,
AliPk7332,1451473992485720067,Mohammad Ali,"Dhaka, Bangladesh"
Frankie1654,377575457,Frances,
cspotweet,174473050,Courtney Theriault,"Edmonton, Alberta"
georgeegirl,21525183,Georgiana Steele-Wal,SoCal
mass_blog_,1374529934278893572,Mass Blog,Bangladesh
alertrm,1629202952,alertrm,
MahoundParadise,3937804393,Mahound's Paradise,
chriswa06970560,807629468399321088,Chris the Salty Clock Turning Back Deplorable,"Unfortunately, Ct"
jtectrain,4704712752,Jtec Training,"Sheffield, England"
MyP_Chicago,3839472135,🇺🇸 Presidunce 🇺🇸,Earth
barav,49021133,Bara Vaida,"Washington, DC"
therealjsolo,1302355896,Josh Solomon,Albany via Queens
bmibd,2674412767,nefermassivetittie,where the depression resides
qotsomusic,1457797646760828940,Trap Metal Bob Ross,"Los Angeles, CA"
stevenjeverett,2660962580,Steven Everett,"Brisbane, Queensland"
QudachCA,1424786140914065411,Qudach Canada,
Vchitax,850440595873116160,🐌 Mimi,
kimsdharma,21425459,Kim,"Ontario, Canada"
srtafriggg,1415423015916122115,Señorita Frigg,
iamcsrivera,1040579681148391424,Steph 🇧🇿,"Houston, TX"
kurt_H_K,1038050777028280320,catador,"Santo André, Brasil"
Moontje123456,1445854785886949377,Moontje,
S__Trader,1320045583072198657,S-Trader (Serdar Altan),NewYork USA
Majeedahmed47,487968444,AMD,
colorblindk1d,711667461414916098,You Should Have Voted For Jo,"New Jersey, USA"
MAGABlueOctober,1440764426148143105,Tracey,
seligabarreiras,262674487,Se Liga Barreiras,Barreiras/BA
Bay1La,865329283,LaLibertadseganadíaadía,World -  Le Monde - El Mundo
gdelussigny,84291352,Guy de Lussigny,"Paris, France"
jay55_joshi,940463262851784704,Cryptoway,"Edmonton, Alberta"
jvmezquita,1157589139,"Jennifer V. Mezquita, Ed.D.",Massachusetts 
AmericanYabel,1162285841005211650,American.Yabel ⚓️ 🇺🇸 ✊🏼 ☮️ 💟 ✝️ 📫,"Florida, USA"
skkassner,1465067716390395906,s kayaga,
erstmal_denken,835625838250962946,"Denken, dann tweeten",Alemania
ultimatepocket1,1080091599198191617,ultimatepocket,"Isla de Francia, Francia"
jgoldsto,2718222241,Jack Goldstone,Woodrow Wilson Center
IOTAGreentech,1458600672086028288,IOTAV2,
FormerlyCharles,2765985741,Food.mancing,"Seattle, WA"
arizman2,25379461,SHADOW BANNED & deboosted,VARIOUS
brooklyncookie,21265283,brooklyncookie,"Brooklyn, NY"
Gamalie43152198,1321121395561160707,Gamaliel,
TheColoredJesus,1390004321769693188,Coloredjesus95,
NettyF65,1359062700,Jeanette - not all of my opinions are popular,Portsmouth Gulag
mixcloudjkato36,2836821251,Joey Kato,
wendixan,1279349491502665728,wendixan,
AfricaTimesofN1,1119286872121851906,Africa Times of News,
FleischerHannes,1290303931860619265,Hannes Fleischer,Österreich
ExCarnaka,272086727,ExCarnaka,
_oldgameboy,1412846004773085185,red vans,
Jen_KAZ_2Y5,2410438398,Jenna / GISH participant,California 
Miquwarchar,1949424703,Krisztina Panten #Patriot🇭🇺♥️🇺🇸♥️🇮🇱,Magyarország
pixiemusings,3075003425,Vaxxed (Taylor’s Version),Coahuiltecan land
TomBradyMD1,1352358202185293833,"Sarah MD, Peds, 18000 deaths is Not Safe",Brave New World Global Sucks
TonyLeo23Lion,1207793956387479558,@ADJohnson,
mollydream93,182840746,Molly,
DWS_Americas,879432357291466752,DWS Americas,United States
Bruce89895356,1192000235616124928,Bruce,united states
SportForWomen,167228915,Sport For Women,Australia
GmkShyam,1397763339057614849,ShyamGMK,
melipasta,749649287517175809,༄Mélina☾ ✯,she/her 
WrenKaz,1427305349225193474,Kaz Ben Wren,
jfmoule,203377975,Jeremy Moule,"Rochester, NY"
thehomemasterHS,1438774673555132420,Homemaster,
Meidas_Damon,183753455,Meidas_Damon 🗽 🩸🦷,"Pittsburgh, PA"
SueltaLaSopaTV,1307625410,Suelta La Sopa,
priscillakuol,1294727764424232963,Priscilla🇸🇸🇰🇪/🇨🇦,"Vancouver, Canada"
luisabinadersh,1282385842762391552,Luis Abinadersh,El Trono
HernameBitter,2376016890,Yəhōwāh Flex,Texas
commercialnews,21784801,Commercial News,"Danville, IL"
RadioBulgariaES,773532300483129346,Radio Bulgaria_ES,Bulgaria
mikoshivo,1436792683582853122,🗯️,★ ⁺ ｡ﾟ･ @_kohiu
davejorgenson,190063585,Washington Post TikTok Guy,"Washington, D.C."
dr_irfan_malik,1110509423322189824,Irfan,"East Midlands, England"
gilmax,36130664,Gilmax Nascimento,
colormescience,766752384227745793,Roooxaaanne,Frisco TX
AliMirTo,891109958951075840,AliMir,
Andrewjmenzi,435134578,Menzi,
julhamaxado,1008365409152757760,julha,"Tubarão, Brasil"
milohow,1319367964848758786,͏nat!¡ ☠️,she her
RomanoCBS4,2827202492,Lou Romano,"El Paso, Texas"
h24news_ie,1242813568422227969,H24 News Ireland,Dublin
technology,21272440,Bloomberg Technology,San Francisco
m1keinparma,1415698876300943362,mIkE,
aiolos007,1285281587597324288,Aiolos,
Spaz5150,425639213,Mark Jorgensen,minnesota
robbysoave,155581583,Robby Soave,
JamesHu57577086,1432491837441261569,James Hutchison,
chefofmembers,480829981,Josch. feat. Frank.,satire?
Aler9Gaby,1237074431903764480,@Aler9Gaby,
NovoTHOR,763826187806187520,NovoTHOR®,
CutiRomero4,1422613965423718400,Cristian Romero,"Tottenham, London"
JoyNewsOnTV,610124383,JoyNews,Ghana
djohnson188dj,2156827702,David,UK
kfvsnews,21034105,KFVS News,"Cape Girardeau, Missouri"
RepOMara,1060890857983881218,Rep. Jennifer O'Mara,"Pennsylvania, USA"
elceo__,1047598652510937093,EL CEO,
kelly_hertz,387307304,Kelly Hertz,Yankton
ProdByZapz,26727193,ProdByZapz,"London, England"
mrpeterivan,111050337,peter,
TheMelv1986,1025415950,Martin Collins,
pebs06,22845361,AMp,
Another88999457,1265477444741414918,Another,
MelanieAlex62,1362186522062110720,Melanie Alexander,"Burleson, TX"
real_DRN,1333283589291601923,Down Right News,
ITWT10,1230851546855944199,ITWT,The French Alps
connerrr___,768681854,Conner White,
temetoh,27319764,thomas emetoh,Houston
VVDisgoat,1057954144940707847,#FSGOUT :/ (12-11)💜💛,
lindyqb5,15329294,Lindy Mc 🇺🇸,"Estero, FL"
NCStateSportsF1,1319690571607310336,NC State Sports Fan,
FrankRHofmann,19066466,Frank R. Hofmann,"Berlin, Deutschland"
